A[edit],,,,,
Burundi[29][30],Kirundi French English,,,Kirundi,Swahili
C[edit],,,,,
Country,Official Language,Minority Language,Minority Language,National Language,Widely Spoken
Cambodia,Khmer,,,,
Cameroon,English French,,,,
Canada,English (Federal) French (Federal) Chipewyan (Northwest Territories) Cree (Northwest Territories) Gwich'in (Northwest Territories) Inuinnaqtun (Northwest Territories and Nunavut) Inuktitut (Northwest Territories and Nunavut) Inuvialuktun (Northwest Territories) North Slavey (Northwest Territories) South Slavey (Northwest Territories) Tłı̨chǫ (Northwest Territories),Chipewyan Cree Gwich'in Inuinnaqtun Inuktitut Inuvialuktun North Slavey South Slavey Tłı̨chǫ,Chipewyan Cree Gwich'in Inuinnaqtun Inuktitut Inuvialuktun North Slavey South Slavey Tłı̨chǫ,,
Cape Verde,Portuguese,,,Cape Verdean Creole,
Central African Republic,French,Sango,Sango,,
Chad,Arabic French,,,,
Chile,Spanish (de facto) Languages of ethnic groups are official in their territories[31],,,,
China,Mandarin (statewide) Cantonese (de facto in  Hong Kong and  Macau) 46 regional official languages,,,,
Colombia,Spanish (Languages of ethnic groups are official in their territories[32]),,,,
Comoros,Arabic Comorian French,,,,
Democratic Republic of the Congo,French,Lingala Kikongo,Lingala Kikongo,Swahili Tshiluba,
Republic of the Congo,French,Lingala Munukutuba,Lingala Munukutuba,,
Costa Rica,Spanish,,,,
Croatia,Croatian (statewide) Serbian (in some municipalities) Hungarian (in some municipalities) Czech (in some municipalities) Slovak (in some municipalities) Pannonian Rusyn (in some towns) Istro-Romanian (protected),,,Italian (Istria County) Romani (non-territorial) Slovene (non-territorial),
Cuba,Spanish,,,,
Cyprus,Greek[33] Turkish[33],,,Armenian[34] Cypriot Arabic[34],English
Czech Republic,Czech Slovak[35],,,Belarusian[36] Bulgarian[36] Croatian[36] German[36] Greek[36] Hungarian[36] Polish[36] Romani[36] Russian[36] Rusyn[36] Serbian[36] Ukrainian[36] Vietnamese[36],
D[edit],,,,,
Country,Official Language,Minority Language,Minority Language,Minority Language,Minority Language
Denmark,Danish (statewide) Faroese (in the Faroe Islands) Kalaallisut (in Greenland),German (in Southern Jutland),German (in Southern Jutland),German (in Southern Jutland),German (in Southern Jutland)
Djibouti,Arabic French,,,,
Dominica,English,,,,
Dominican Republic,Spanish,,,,
E[edit],,,,,
Country,Official Language,Minority Language,Minority Language,Working Language,Working Language
East Timor,Portuguese[37] Tetum[37],,,,
Ecuador,Spanish Quechua (official language of intercultural relation)[38],Kichwa (official minority language)[38] Shuar (official minority language)[38],Kichwa (official minority language)[38] Shuar (official minority language)[38],,
Egypt,Arabic,,,,
El Salvador,Spanish,,,,
Equatorial Guinea,Spanish French Portuguese,,,,
Eritrea,Tigrinya,,,Arabic TigrinyaItalian,Arabic TigrinyaItalian
Estonia,Estonian,,,,
Eswatini (Swaziland),EnglishSwazi,,,,
Ethiopia,Amharic,,,Oromo Somali Tigrigna Afar Sidamo Kunama Benshangul Gumuz English Harari,Oromo Somali Tigrigna Afar Sidamo Kunama Benshangul Gumuz English Harari
F[edit],,,,,
Country,Official Language,Minority Language,Minority Language,National Language,National Language
Fiji,English Fijian Fiji Hindi,,,,
Finland,Finnish Swedish,"Sami (in Enontekiö, Inari, Sodankylä, Utsjoki)","Sami (in Enontekiö, Inari, Sodankylä, Utsjoki)",Finnish Swedish,Finnish Swedish
France,French (Languages of France and language policy in France)[39]  G[edit],,,,
Country,Official Language,Minority Language,Minority Language,National Language,National Language
Gabon,French,,,,
Gambia,English,,,,
Georgia,Georgian,,,,
Germany,German[40] Danish (in Schleswig-Holstein) Lower Sorbian (in Brandenburg) North Frisian (in Schleswig-Holstein) Saterland Frisian (in Lower Saxony) Upper Sorbian (in Saxony) German Sign Language Low German,Danish Lower Sorbian North Frisian Romani[41] Upper Sorbian,Danish Lower Sorbian North Frisian Romani[41] Upper Sorbian,,
Ghana,English Adangme (in Greater Accra) Dagaare (in the Upper West Region) Dagbani (in the Northern Region) Ewe (in the Volta Region) Ga (in the Greater Accra) Gonja (in the Northern Region) Kasem (in the Upper East Region) Nzema (in the Western Region) Akuapem Twi Asante Twi Mfantse,,,,
Greece,Greek,,,,
Grenada,English,,,,
Guatemala,Spanish,,,,
Guinea,French,,,Fula Maninka Susu,Fula Maninka Susu
Guinea-Bissau,Portuguese,,,,
Guyana,English,,,Guyanese Creole,Guyanese Creole
H[edit],,,,,
Country,Official Language,Minority Language,Minority Language,Written language,Written language
Haiti,French Haitian Creole,,,,
Honduras,Spanish Garifuna (on the Caribbean Coast) English (in the Bay Islands) Miskito (in Eastern Honduras),,,,
Hong Kong,Cantonese (de facto) English,,,Traditional Chinese,Traditional Chinese
Hungary,Hungarian[42],Croatian[43] German[43] Romanian[43] Serbian[43] Slovak[43] Slovene[43],Croatian[43] German[43] Romanian[43] Serbian[43] Slovak[43] Slovene[43],,
I[edit],,,,,
Country,Official Language,Regional Language,Minority Language,National Language,Optional
Iceland,Icelandic Icelandic Sign Language,,,,
India,"Hindi and English are the official languages Assamese (in Assam and Arunachal Pradesh) Bengali (in West Bengal, Tripura, Assam and Andaman and Nicobar Islands) Bodo (in Assam) Chhattisgarhi (in Chhattisgarh) Dogri (in Jammu and Kashmir and Punjab) English (Central Government,  only official language of Nagaland and Arunachal Pradesh) Garo (in Meghalaya) Gujarati (in Dadra and Nagar Haveli, Daman and Diu and Gujarat) Hindi (ten states, and Delhi, Chandigarh and Andaman and Nicobar Islands) Kannada (in Karnataka) Karbi (in Assam) Kashmiri (in Jammu and Kashmir) Khasi (in Meghalaya) Kokborok (in Tripura) Konkani (in Goa) Lepcha (in Sikkim) Maithili (in Bihar and Jharkhand) Malayalam (in Kerala, Lakshadweep and Puducherry) Meitei (in Manipur) Marathi (in Maharashtra, Goa, Dadra and Nagar Haveli, Daman and Diu) Mizo (in Mizoram) Nepali (in Sikkim and West Bengal) Newari (in Sikkim) Odia (in Odisha) Punjabi (in Punjab, Haryana, Delhi,  and Chandigarh) Sanskrit (in Uttarakhand) Santali (in Bihar, Chhattisgarh, Jharkhand and Odisha) Sindhi Sunwar (in Sikkim) Tamil (in Tamil Nadu, Andaman and Nicobar Islands and Puducherry) Telugu (in Andhra Pradesh, Telangana, Puducherry and Andaman and Nicobar Islands) Urdu (in Jammu and Kashmir, Telangana, Bihar and Uttar Pradesh)",Ladakhi (in Ladakh),Sylheti,,
Indonesia,(More than 700 languages of Indonesia) Indonesian Indonesian sign languages[citation needed],"Javanese actually a majority language (42% population,100 million speakers) but not official in any level and Sundanese, 42 million speakers (in Java island) Madurese, 13 million speakers in Madura island Batak languages, Minang, Aceh, 17 million speakers in Sumatra island Balinese, 4 million speakers in Bali island Buginese, 4 million speakers, the largest one in Sulawesi island Banjarese, 4 million speakers, the largest one in Kalimantan island",,,English Arabic
Iran,Persian,,,,
Iraq,Arabic (statewide) Kurdish (possibly statewide) Assyrian Neo-Aramaic (in Assyrian areas) Iraqi Turkmen (in Turkmen areas) Armenian recognized,,,,
Ireland,(Languages of Ireland)[44] English  Irish,,,Irish,
Israel,Hebrew,Arabic,,,Russian English
Italy,(Languages of Italy) Italian French (co-official in Aosta Valley) German (co-official in South Tyrol) Ladin (in South Tyrol) Slovene (in the Province of Trieste and the Province of Gorizia),,Ladin Slovene,,
Ivory Coast,French,,,,
J[edit],,,,,
Country,Official Language,National Language,National Language,National Language,National Language
Jamaica,English,,,,
Japan,Japanese,Japanese,Japanese,Japanese,Japanese
Jordan,Arabic,,,,
K[edit],,,,,
Country,Official Language,Regional Language,Regional Language,National Language,National Language
Kazakhstan,Russian,,,Kazakh,Kazakh
Kenya,English,,,Swahili,Swahili
Kiribati,English,,,Kiribati,Kiribati
North Korea,Korean,,,,
South Korea,Korean Korean Sign Language,,,,
Kosovo,Albanian Serbian,Turkish,Turkish,,
Kuwait,Standard Arabic,,,Kuwaiti Sign LanguageKuwaiti ArabicKuwaiti Persian,Kuwaiti Sign LanguageKuwaiti ArabicKuwaiti Persian
Kyrgyzstan,Russian,,,Kyrgyz,Kyrgyz
L[edit],,,,,
Country,Official Language,National Language,National Language,National Language,National Language
Laos,Lao,,,,
Latvia,Latvian[45][46],,,,
Lebanon,Arabic,Phoenician,Phoenician,Phoenician,Phoenician
Lesotho,English,Sotho,Sotho,Sotho,Sotho
Liberia,English,,,,
Libya,Arabic,,,,
Liechtenstein,German,,,,
Lithuania,Lithuanian,,,,
Luxembourg,French German,Luxembourgish,Luxembourgish,Luxembourgish,Luxembourgish
M[edit],,,,,
Country,Official Language,Regional Language,Regional Language,National Language,Traditional Language
Macau,Cantonese (de facto) Portuguese,,,,Chinese
Madagascar,French Malagasy,,,Malagasy,
Malawi,English,,,Chichewa,
Malaysia,Malay [48],,,,
Maldives,Dhivehi,,,,
Mali,French Tamazight (Azawad district),,,,
Malta,English,,,Maltese,
Sovereign Military Order of Malta,Italian,,,,
Marshall Islands,English,,,Marshallese,
Mauritania,Arabic,,,Arabic Fula Soninke Wolof,French
Mauritius,English,,,French,
Mexico,Spanish (de facto),,,,
Federated States of Micronesia,English (statewide except in Kosrae) Chuukese (in Chuuk) Kosraean (in Kosrae) Woleaian,,,,
Moldova,Romanian (statewide),Gagauz Russian Ukrainian,Gagauz Russian Ukrainian,,
Monaco[49],French,,,,Monégasque
Mongolia,Mongolian,,,,
Montenegro,Albanian (in Ulcinj) Croatian (in Tivat) Serbian (in Herceg Novi),Bosnian (in the north),Bosnian (in the north),Montenegrin,Serbian
Morocco,Arabic Berber,,,,
Mozambique,Portuguese,,,,
Myanmar (Burma),Burmese,Chin Kachin Karen Karenni Mon Rakhine Shan,Chin Kachin Karen Karenni Mon Rakhine Shan,,
N[edit],,,,,
Country,Official Language,Regional Language,Minority Language,National Language,Administrative Language
Namibia[50],English,German Oshiwambo,,Afrikaans,
Nauru,English Nauruan,,,,
Nepal,Maithili (in Madhesh),,,Nepali,
Netherlands,"Dutch (de facto, statewide) West Frisian (in Friesland) Papiamento (in Aruba, Curaçao, Bonaire) English (in Sint Maarten, Sint Eustatius, Saba)",Limburgish Low Saxon,,,
New Zealand,"Cook Islands Maori (in Cook Islands) English (de facto, statewide) Māori (statewide) New Zealand Sign Language Niuean (in Niue) Tokelauan (in Tokelau)",,,,
Nicaragua,Spanish,,,,
Niger,French,,,Arabic Hausa Fulfulde Gulmancema Kanuri Zarma Tamazight,
Nigeria,English,,,Hausa Yoruba Igbo,
North Macedonia,Macedonian Albanian[51],,,,
Northern Cyprus,Turkish,,,,
Norway,"(Languages of Norway) Norwegian (statewide) Sami (in Kautokeino, Karasjok, Gáivuotna, Kåfjord, Nesseby, Porsanger, Tana, Tysfjord)",Sami (from Engerdal to Russia),Kven Scandoromani,,Kven
O[edit],,,,,
Country,Official Language,Official Language,Official Language,Official Language,Official Language
Oman,Arabic,Arabic,Arabic,Arabic,Arabic
P[edit],,,,,
Country,Official Language,Regional Language,Minority Language,National Language,Optional
Pakistan,"Urdu English Major languages such as Punjabi, Balochi, Sindhi, and Pashto have no official recognition",,,Urdu,
Palau,English (statewide) Palauan (statewide) Sonsorolese (in Sonsorol) Tobian (in Hatohobei) Japanese (in Angaur),,,,
Palestine,Arabic (de facto),,,,Hebrew English
Panama,Spanish,,,,
Papua New Guinea,English Hiri Motu Tok Pisin,,,,
Paraguay,Spanish Guaraní,,,,
Peru,Spanish Aymara Quechua All native languages where they are spoken by the majority,,,,
Philippines,(Languages of the Philippines) Filipino (statewide) English (statewide) Filipino Sign Language (statewide) Ilokano (in La Union)[52],Aklanon (in the Visayas) Bikol (in Luzon) Cebuano (in the Visayas and Mindanao) Ibanag (in Luzon) Ilocano (in Luzon) Ivatan (in Luzon) Kapampangan (in Luzon) Kanaray-a (in the Visayas) Maranao (in Mindanao) Maginanao (in Mindanao) Pangasinan (in Luzon) Sambal (in Luzon) Tagalog (in Luzon) Tausug (in Mindanao) Waray (in the Visayas) Yakan (in Mindanao),,Filipino,Spanish Arabic
Poland,Polish,Kashubian (Pomeranian Voivodeship),German (Opole Voivodeship) Lithuanian (Puńsk commune) Belarusian (Podlaskie Voivodseship) Czech Hebrew Yiddish Lemko Karaim Armenian Romani Russian Slovak Tatar Ukrainian,,
Portugal,(Languages of Portugal) Portuguese,Mirandese (Miranda do Douro),,,
Q[edit],,,,,
Country,Official Language,Regional Language,Minority Language,National Language,Historical
Qatar,Arabic,,,,
R[edit],,,,,
Country,Official Language,Regional Language,Minority Language,National Language,Historical
Romania,Romanian (statewide),Armenian German Hungarian Romani Serbian Slovak Turkish Ukrainian,,,
Russia,(Languages of Russia) Russian (federal) Abaza (Karachay-Chekess Republic) Adyghe (Adygea) Aghul (Dagestan) Altai (Altai Republic) Azerbaijani (Dagestan) Bashkir (Bashkortostan) Buryat (Buryatia) Chechen (Chechnya and Dagestan) Chuvash (Chuvashia) Crimean Tartar (de facto in Republic of Crimea) Dargin (Dagestan) Erzya (Mordovia) Ingush (Ingushetia) Kabardian (Kabardino-Balar and Karachay-Cherkessia) Kalmyk (Kalmykia) Karachay-Balkar (Kabardino-Balkar and Karachay-Cherkessia) Khakas (Khakassia) Komi-Zyrian (Komi Republic) Kumyk (Dagestan) Lak (Dagestan) Lezgian (Dagestan) Mari (Mari El) Moksha (Mordovia) Nogai (Karachay–Cherkessia and Dagestan) Ossetic (North Ossetia–Alania) Rutul (Dagestan) Sakha (Sakha Republic) Tabasaran (Dagestan) Tatar (Tatarstan) Tati (Dagestan) Tsakhur (Dagestan) Tuvin (Tuva) Udmurt (Udmurtia) Ukrainian,,,,
Rwanda,English French Kinyarwanda,,,,
S[edit],,,,,
Country,Official Language,Regional Language,Minority Language,National Language,Historical
Sahrawi Arab Democratic Republic,Tamazight Arabic Spanish,,,,
Saint Kitts and Nevis,English,,,,
Saint Lucia,English,,,,
Saint Vincent and the Grenadines,English,,,,
Samoa,English,,,Samoan,
San Marino,Italian,,,,
São Tomé and Príncipe,Portuguese,,,,
Saudi Arabia,Arabic,,,,
Senegal,French,,,Jola-Fogny Mandinka Pulaar Serer Soninke Wolof,
Serbia,Serbian,,15 minority languages,,
Seychelles,English French Seychellois Creole,,,,
Sierra Leone,English,,,,
Singapore,English Mandarin Malay Tamil,,,Malay,
Slovakia,Slovak Bulgarian Czech Polish German Romani Rusyn Serbian Ukrainian,,Hungarian,,
Slovenia,Slovene (statewide),,"Hungarian (Dobrovnik, Hodoš, Lendava) Italian (Izola, Koper, Piran) Croatian (Metlika, Brežice)",,
Solomon Islands,English,,,,
Somalia,Arabic,,,Somali,
Somaliland,Somali Arabic English,,,,
South Africa,Afrikaans English Southern Ndebele Northern Sotho Sotho Swazi Tsonga Tswana Venda Xhosa Zulu,,,,
South Sudan,English,,,Arabic Bari Dinka Luo Murle Nuer Zande 60 other languages,
Spain,"Spanish Catalan (Balearic Islands, Catalonia, Valencia) Galician (Galicia) Occitan (Catalonia) Basque (Basque Country, Navarra)",,Astur-Leonese (Asturias) Aragonese (Aragon) Fala (Province of Cáceres) French Portuguese,,
Sri Lanka,Sinhala Tamil,,,,
Sudan,Arabic English,,,,
Suriname,Dutch,,,Sranan Tongo,
Sweden,Swedish,,"Finnish (Gällivare, Haparanda, Kiruna, Pajala, Övertorneå Meänkieli (Gällivare, Haparanda, Kiruna, Pajala, Övertorneå) Sami (Arjeplog, Gällivare, Jokkmokk, Kiruna)",,Romani Yiddish
Switzerland,"German (Aargau, Appenzell Ausserrhoden, Appenzell Innerrhoden, Basel-Landschaft, Basel-Stadt, Bern, Fribourg, Glarus, Graubünden, Lucerne, Nidwalden, Obwalden, Saint Gallen, Schaffhausen, Schwyz, Solothurn, Thurgau, Uri, Valais, Zug, Zürich) French (Bern, Fribourg, Geneva, Jura, Neuchâtel, Valais, Vaud) Italian (Ticino, Graubünden) Romansh (Graubünden)",,,,
Syria,Arabic,Kurdish,,,
T[edit],,,,,
Country,Official Language,Regional Language,Regional Language,National Language,Interethnic Communication
Taiwan,FormosanTaiwanese HokkienHakkaMandarin (de facto but not de jure) Matsunese,EnglishTaiwanese HokkienHakka,EnglishTaiwanese HokkienHakka,Formosan[53]Taiwanese HokkienHakka[54]Matsunese,MandarinTaiwanese Hokkien
Tajikistan,,,,Tajik,Russian
Tanzania,English,,,Swahili,
Thailand,Thai,,,,
Togo,French,,,,
Transnistria,MoldovanRussianUkrainian,,,,
Tonga,English,,,Tongan,
Trinidad and Tobago,English,,,,
Tunisia,,,,Arabic,
Turkey,Turkish,Kurdish,Kurdish,,
Turkmenistan,,,,Turkmen,Russian
Tuvalu,English (de facto),,,Tuvaluan (de facto),
U[edit],,,,,
Country,Official Language,Official Language,National Language,National Language,National Language
Uganda,English Swahili[55],English Swahili[55],,,
Ukraine,Ukrainian,Ukrainian,,,
United Arab Emirates,Arabic,Arabic,,,
United Kingdom,English (de facto but not de jure) Cornish (in Cornwall)[56] Irish and Ulster-Scots (in Northern Ireland) Scots and Scottish Gaelic (in Scotland) Welsh (in Wales) Pitcairnese (in Pitcairn Islands) Guernésiais and French (in Guernsey) Jèrriais and French (in Jersey) Manx (in Isle of Man),English (de facto but not de jure) Cornish (in Cornwall)[56] Irish and Ulster-Scots (in Northern Ireland) Scots and Scottish Gaelic (in Scotland) Welsh (in Wales) Pitcairnese (in Pitcairn Islands) Guernésiais and French (in Guernsey) Jèrriais and French (in Jersey) Manx (in Isle of Man),,,
United States,"(Languages of the United States and English-only movement) English (de facto but not de jure) Inupiaq (Alaska) Siberian Yupik (Alaska) Central Alaskan Yup'ik (Alaska) Alutiiq (Alaska) Unangan (Alaska) Dena'ina (Alaska) Deg Xinag (Alaska) Holikachuk (Alaska) Koyukon (Alaska) Upper Kuskokwim (Alaska) Gwich'in (Alaska) Tanana (Alaska) Upper Tanana (Alaska) Tanacross (Alaska) Hän (Alaska) Ahtna (Alaska) Eyak (Alaska) Tlingit (Alaska) Haida (Alaska) Tsimshian (Alaska) Hawaiian (Hawaii) Cherokee (UKB in Oklahoma) Samoan (American Samoa) Chamorro (Guam and Northern Mariana Islands) Carolinian (Northern Mariana Islands) Spanish (Puerto Rico only; special status in New Mexico, but not official) French (special status in Louisiana, but not official)","(Languages of the United States and English-only movement) English (de facto but not de jure) Inupiaq (Alaska) Siberian Yupik (Alaska) Central Alaskan Yup'ik (Alaska) Alutiiq (Alaska) Unangan (Alaska) Dena'ina (Alaska) Deg Xinag (Alaska) Holikachuk (Alaska) Koyukon (Alaska) Upper Kuskokwim (Alaska) Gwich'in (Alaska) Tanana (Alaska) Upper Tanana (Alaska) Tanacross (Alaska) Hän (Alaska) Ahtna (Alaska) Eyak (Alaska) Tlingit (Alaska) Haida (Alaska) Tsimshian (Alaska) Hawaiian (Hawaii) Cherokee (UKB in Oklahoma) Samoan (American Samoa) Chamorro (Guam and Northern Mariana Islands) Carolinian (Northern Mariana Islands) Spanish (Puerto Rico only; special status in New Mexico, but not official) French (special status in Louisiana, but not official)",,,
Uruguay,Spanish (de facto),Spanish (de facto),,,
Uzbekistan,,,Uzbek Karakalpak and Uzbek in Karakalpakstan,Uzbek Karakalpak and Uzbek in Karakalpakstan,Uzbek Karakalpak and Uzbek in Karakalpakstan
V[edit],,,,,
Country,Official Language,National Language,National Language,National Language,National Language
Vanuatu,English French,Bislama,Bislama,Bislama,Bislama
Vatican City,Italian,,,,
Venezuela,Spanish[57],,,,
Vietnam,,Vietnamese,Vietnamese,Vietnamese,Vietnamese
Y[edit],,,,,
Country,Official Language,Official Language,Official Language,Official Language,Official Language
Yemen,Arabic,Arabic,Arabic,Arabic,Arabic
Z[edit],,,,,
Country,Official Language,Official Language,Official Language,Official Language,Official Language
Zambia,English,English,English,English,English
Zimbabwe,ChewaChibarweEnglishKalangaKhoisan[58][59]NambyaNdauNdebeleShanganiShonaSign language[60]SothoTongaTswanaVendaXhosa,ChewaChibarweEnglishKalangaKhoisan[58][59]NambyaNdauNdebeleShanganiShonaSign language[60]SothoTongaTswanaVendaXhosa,ChewaChibarweEnglishKalangaKhoisan[58][59]NambyaNdauNdebeleShanganiShonaSign language[60]SothoTongaTswanaVendaXhosa,ChewaChibarweEnglishKalangaKhoisan[58][59]NambyaNdauNdebeleShanganiShonaSign language[60]SothoTongaTswanaVendaXhosa,ChewaChibarweEnglishKalangaKhoisan[58][59]NambyaNdauNdebeleShanganiShonaSign language[60]SothoTongaTswanaVendaXhosa
